order_id,customer_id,product,status,delivered_days_ago,amount,eligible_for_refund
ORD-0042,CUST-042,云桌面协作,delivered,42,278.0,false
ORD-0043,CUST-043,视觉巡检仪,delivered,43,317.5,false
ORD-0044,CUST-044,安全金库,delivered,44,357.0,false
ORD-0045,CUST-045,运维控制台,delivered,45,396.5,false
ORD-0046,CUST-046,灯塔路由器,pending,1,436.0,false
ORD-0047,CUST-047,云桌面协作,delivered,2,475.5,true
ORD-0048,CUST-048,视觉巡检仪,delivered,3,515.0,true
ORD-0049,CUST-049,安全金库,delivered,4,554.5,true
ORD-0050,CUST-050,运维控制台,delivered,5,594.0,true
ORD-0051,CUST-051,灯塔路由器,pending,6,633.5,false
ORD-0052,CUST-052,云桌面协作,delivered,7,673.0,true
ORD-0053,CUST-053,视觉巡检仪,delivered,8,199.0,true
ORD-0054,CUST-054,安全金库,delivered,9,238.5,true
ORD-0055,CUST-055,运维控制台,delivered,10,278.0,true
ORD-0056,CUST-056,灯塔路由器,pending,11,317.5,false
ORD-0057,CUST-057,云桌面协作,delivered,12,357.0,true
ORD-0058,CUST-058,视觉巡检仪,delivered,13,396.5,true
ORD-0059,CUST-059,安全金库,delivered,14,436.0,true
ORD-0060,CUST-060,运维控制台,delivered,15,475.5,true
ORD-0061,CUST-001,灯塔路由器,pending,16,515.0,false
ORD-0062,CUST-002,云桌面协作,delivered,17,554.5,true
ORD-0063,CUST-003,视觉巡检仪,delivered,18,594.0,true
ORD-0064,CUST-004,安全金库,delivered,19,633.5,true
ORD-0065,CUST-005,运维控制台,delivered,20,673.0,true
ORD-0066,CUST-006,灯塔路由器,pending,21,199.0,false
ORD-0067,CUST-007,云桌面协作,delivered,22,238.5,true
ORD-0068,CUST-008,视觉巡检仪,delivered,23,278.0,true
ORD-0069,CUST-009,安全金库,delivered,24,317.5,true
ORD-0070,CUST-010,运维控制台,delivered,25,357.0,true
ORD-0071,CUST-011,灯塔路由器,pending,26,396.5,false
ORD-0072,CUST-012,云桌面协作,delivered,27,436.0,true
ORD-0073,CUST-013,视觉巡检仪,delivered,28,475.5,true
ORD-0074,CUST-014,安全金库,delivered,29,515.0,true
ORD-0075,CUST-015,运维控制台,delivered,30,554.5,true
ORD-0076,CUST-016,灯塔路由器,pending,31,594.0,false
ORD-0077,CUST-017,云桌面协作,delivered,32,633.5,false
ORD-0078,CUST-018,视觉巡检仪,delivered,33,673.0,false
ORD-0079,CUST-019,安全金库,delivered,34,199.0,false
ORD-0080,CUST-020,运维控制台,delivered,35,238.5,false
ORD-0081,CUST-021,灯塔路由器,pending,36,278.0,false
ORD-0082,CUST-022,云桌面协作,delivered,37,317.5,false
ORD-0083,CUST-023,视觉巡检仪,delivered,38,357.0,false
ORD-0084,CUST-024,安全金库,delivered,39,396.5,false
ORD-0085,CUST-025,运维控制台,delivered,40,436.0,false
ORD-0086,CUST-026,灯塔路由器,pending,41,475.5,false
ORD-0087,CUST-027,云桌面协作,delivered,42,515.0,false
ORD-0088,CUST-028,视觉巡检仪,delivered,43,554.5,false
ORD-0089,CUST-029,安全金库,delivered,44,594.0,false
ORD-0090,CUST-030,运维控制台,delivered,45,633.5,false
ORD-0091,CUST-031,灯塔路由器,pending,1,673.0,false
ORD-0092,CUST-032,云桌面协作,delivered,2,199.0,true
ORD-0093,CUST-033,视觉巡检仪,delivered,3,238.5,true
ORD-0094,CUST-034,安全金库,delivered,4,278.0,true
ORD-0095,CUST-035,运维控制台,delivered,5,317.5,true
ORD-0096,CUST-036,灯塔路由器,pending,6,357.0,false
ORD-0097,CUST-037,云桌面协作,delivered,7,396.5,true
ORD-0098,CUST-038,视觉巡检仪,delivered,8,436.0,true
ORD-0099,CUST-039,安全金库,delivered,9,475.5,true
ORD-0100,CUST-040,运维控制台,delivered,10,515.0,true
ORD-0101,CUST-041,灯塔路由器,pending,11,554.5,false
ORD-0102,CUST-042,云桌面协作,delivered,12,594.0,true
ORD-0103,CUST-043,视觉巡检仪,delivered,13,633.5,true
ORD-0104,CUST-044,安全金库,delivered,14,673.0,true
ORD-0105,CUST-045,运维控制台,delivered,15,199.0,true
ORD-0106,CUST-046,灯塔路由器,pending,16,238.5,false
ORD-0107,CUST-047,云桌面协作,delivered,17,278.0,true
ORD-0108,CUST-048,视觉巡检仪,delivered,18,317.5,true
ORD-0109,CUST-049,安全金库,delivered,19,357.0,true
ORD-0110,CUST-050,运维控制台,delivered,20,396.5,true
ORD-0111,CUST-051,灯塔路由器,pending,21,436.0,false
ORD-0112,CUST-052,云桌面协作,delivered,22,475.5,true
ORD-0113,CUST-053,视觉巡检仪,delivered,23,515.0,true
ORD-0114,CUST-054,安全金库,delivered,24,554.5,true
ORD-0115,CUST-055,运维控制台,delivered,25,594.0,true
ORD-0116,CUST-056,灯塔路由器,pending,26,633.5,false
ORD-0117,CUST-057,云桌面协作,delivered,27,673.0,true
ORD-0118,CUST-058,视觉巡检仪,delivered,28,199.0,true
ORD-0119,CUST-059,安全金库,delivered,29,238.5,true
ORD-0120,CUST-060,运维控制台,delivered,30,278.0,true
