ticket_id,channel,customer_id,customer_tier,title,body,product,created_at,status,linked_order_id,expected_category,source_dataset,source_ticket_ref,source_language,source_queue,source_subject,source_body
TCK-0011,chat,CUST-011,premium,售后退款流程想尽快推进,订单 ORD-0014 购买的“安全金库”最近使用体验不符合预期，同时还出现了账单金额或发票信息异常，请帮我核对退款或账单修正流程。,安全金库,2026-03-29T22:50:00,open,ORD-0014,billing_refund,Tobi-Bueck/customer-support-tickets,PUB-04563,en,Billing and Payments,Concern Regarding Monthly Subscription Billing,"Dear Customer Support, I hope this message finds you well. I am writing to draw your attention to an issue with my subscription charges. I was charged twice in the same month, and I believe this might be due to a system error. I have already reached out to your support team, who provided a resolution, but I would greatly appreciate it if you could look into the matter and provide a refund for the excess charge at the earliest possible convenience. Please let me know if you need any additional information to resolve this issue. My email address is the preferred method for communication. Thank you for your prompt attention to this matter."
TCK-0012,web,CUST-012,enterprise,物流轨迹长时间未更新，请帮忙核对,关于订单 ORD-0012，我们现在最关注的是“云桌面协作”的发货与物流问题。由于存在物流轨迹长时间未更新，请尽快确认是否需要升级处理。,云桌面协作,2026-03-29T21:49:00,open,ORD-0012,delivery_issue,Tobi-Bueck/customer-support-tickets,PUB-15633,en,Returns and Exchanges,Problem with Order Fulfillment Workflow,"Greetings Customer Support, I am contacting you to bring to your attention an issue with the order fulfillment process that is linked to inventory discrepancies. It appears that our current inventory tracking and management system is inadequate, which has caused several orders to remain unfulfilled. We have already attempted manual inventory counts and system verifications, yet the problem remains unresolved. I would be grateful for any assistance in resolving this and enhancing our inventory management. Please inform me if you require any additional information from me."
TCK-0013,email,CUST-013,standard,系统异常已经影响团队使用,今天开始“云桌面协作”持续出现服务中断或不可用影响团队使用，多名同事反馈无法正常使用，已经影响团队工作推进，请尽快排查。,云桌面协作,2026-03-29T20:48:00,open,ORD-0037,technical_issue,Tobi-Bueck/customer-support-tickets,PUB-05008,en,Service Outages and Maintenance,Investment Optimization Tools Unavailable Post-Maintenance,"Investment optimization tools are currently inaccessible due to a service outage. This unexpected downtime might be a result of recent server maintenance. We have restarted the affected applications and are monitoring server performance, but access still remains disrupted. Assistance is needed to resolve this issue promptly to minimize any operational impact."
TCK-0014,chat,CUST-014,premium,账号验证一直失败，影响使用,“运维控制台”当前存在密码重置或凭证校验失败，用户多次尝试登录后仍然失败，希望尽快确认是账号、验证码还是 MFA 配置问题。,运维控制台,2026-03-29T19:47:00,open,,account_access,Tobi-Bueck/customer-support-tickets,PUB-03571,en,Customer Service,Problems with Login Following Recent Updates,"Hello Customer Support, I am facing occasional login difficulties. These began after the latest authentication server updates. I have already tried clearing my browser cache and resetting my password, but the problem continues. The login failures are unpredictable, which makes it hard to detect a pattern. I would greatly appreciate your help in resolving this matter as soon as possible to minimize any user inconvenience. Could you please suggest any additional troubleshooting steps that I can take? Also, please let me know if a call at <tel_num> would be more convenient for discussing the issue and finding a solution. Thank you for your prompt attention."
TCK-0015,web,CUST-015,enterprise,想了解商务报价和功能边界,当前团队正在比较不同方案，希望确认“视觉巡检仪”在报价与套餐方案咨询方面的能力和商务安排，请尽量给到清晰答复。,视觉巡检仪,2026-03-29T18:46:00,open,,general_inquiry,Tobi-Bueck/customer-support-tickets,PUB-10509,en,Billing and Payments,Inquiry About Digital Strategies for Brand Growth and Management,"Dear Customer Support, I am contacting you to learn more about the digital strategies you provide for brand growth and management services. As a business owner, I am eager to enhance my online presence and strengthen my brand's reputation. Could you please elaborate on the services you offer, especially in social media management, content creation, and search engine optimization (SEO), and how these services can assist me in achieving my objectives? Additionally, I am interested in knowing about any other digital strategies you offer that can help increase my brand's visibility and connect with a broader audience. Furthermore, I would greatly appreciate any information regarding your pricing and package options, along with any case studies or success stories from your past clients. I am seeking a thorough digital strategy to take my brand to the next level, and I believe your services could be a perfect match. I am looking forward to your response and am happy to provide any further details or clarifications you may require. Sincerely, [Your Name]"
TCK-0016,email,CUST-016,standard,账单金额或发票信息异常，需要人工处理,关于订单 ORD-0020 对应的“运维控制台”，目前遇到账单金额或发票信息异常，想确认是否满足退款条件，并尽快推进售后处理。,运维控制台,2026-03-29T17:45:00,open,ORD-0020,billing_refund,Tobi-Bueck/customer-support-tickets,PUB-12960,en,Billing and Payments,Recurring Charges During Subscription Period,"There seems to be an issue with charges occurring twice during my subscription period, which might be due to a glitch in the billing system. I have reviewed my payment methods and account settings but haven't found a solution yet. I would greatly appreciate it if you could look into this matter and provide a refund for the extra charge as soon as possible. Please inform me if you need any additional information to resolve this issue."
TCK-0017,chat,CUST-017,premium,订单发货进度长时间未更新,“云桌面协作”这笔订单 ORD-0017 已经等待多日，目前仍有物流轨迹长时间未更新 的迹象，麻烦同步当前承运与履约进展。,云桌面协作,2026-03-29T16:44:00,open,ORD-0017,delivery_issue,Tobi-Bueck/customer-support-tickets,PUB-19670,en,Returns and Exchanges,Problem with the Order Fulfillment System,"Greetings, Customer Support. I am contacting you to address an issue with our order fulfillment that stems from inventory mismatches. Our present stock tracking and management system appears to be inadequate, causing some orders to remain unfilled. Despite conducting manual inventory counts and system diagnostics, the problem continues. I would greatly value your expertise in providing solutions to this problem and in enhancing our inventory management processes. If additional information is required, please do not hesitate to reach out to me."
TCK-0018,web,CUST-018,enterprise,服务报错持续出现，需要尽快排查,“云桌面协作”当前存在明显的系统报错或故障需要排查，现场已经很难继续推进业务，麻烦优先安排技术排查。,云桌面协作,2026-03-29T15:43:00,open,,technical_issue,Tobi-Bueck/customer-support-tickets,PUB-07608,en,Returns and Exchanges,Issue with Data Analytics Dashboard Crash,"Problem: The data analytics dashboard has crashed. Details: There was a sudden failure of the QuickBooks integration, which may be due to outdated Ubuntu packages. Efforts Taken: The server has been restarted and ClickUp plugins have been updated. Required: Assistance to resolve the issue."
TCK-0019,email,CUST-019,standard,登录与权限访问出现异常,我们在访问“运维控制台”时遇到登录、密码或多因素认证异常，已经尝试重置密码和重新验证，但仍然无法恢复，请协助排查账号或权限配置。,运维控制台,2026-03-29T14:42:00,open,,account_access,Tobi-Bueck/customer-support-tickets,PUB-03621,en,IT Support,Problem with Project Data Disappearing Upon Login,"Hello Customer Support, I am contacting you to address an issue with my project data not being present upon login. Lately, I have discovered that my project data vanishes each time I log in. I believe the recent updates to the software could be causing a conflict with the system, leading to this problem. Despite attempting to restart the system and update the drivers, the issue continues. I would greatly appreciate your assistance in resolving this. Could you please check into this and provide a solution at your earliest convenience? If further information is required, please let me know. I am awaiting your response and am grateful for your help. Thanks for your attention."
TCK-0020,chat,CUST-020,premium,产品能力、上线计划或商务咨询，希望尽快回复,关于“视觉巡检仪”，我们想进一步了解产品能力、上线计划或商务咨询方面的信息，尤其是适用范围、交付节奏和后续支持方式。,视觉巡检仪,2026-03-29T13:41:00,open,,general_inquiry,Tobi-Bueck/customer-support-tickets,PUB-00002,en,Customer Service,Customer Support Inquiry,"Seeking information on digital strategies that can aid in brand growth and details on the available services. Looking forward to learning more to help our business grow. Thank you, and I look forward to hearing from you soon."
TCK-0021,web,CUST-021,enterprise,想确认最近订单的退款处理,我们希望针对订单 ORD-0027 申请退款，原因是“云桌面协作”当前存在账单金额或发票信息异常，请结合订单状态给出下一步处理建议。,云桌面协作,2026-03-29T12:40:00,open,ORD-0027,billing_refund,Tobi-Bueck/customer-support-tickets,PUB-13357,en,Billing and Payments,Assistance with Billing System Error,"Concerning the issue with the billing system, there has been a mistaken double charge on the SaaS subscription. This might be due to an error in the payment processing system. Despite our efforts to contact support and review transaction records, the issue remains unresolved. We would greatly appreciate your urgent attention to this matter and a prompt refund for the incorrect charge."
TCK-0022,email,CUST-022,standard,物流履约出现异常，想尽快确认,订单 ORD-0022 对应的“云桌面协作”出现了物流轨迹长时间未更新，我们长时间没有看到新的物流更新，请帮忙核对发货与履约状态。,云桌面协作,2026-03-29T11:39:00,open,ORD-0022,delivery_issue,Tobi-Bueck/customer-support-tickets,PUB-01036,en,Returns and Exchanges,Query on Integrations for JIRA Solution,"Hello Customer Support, I am writing to get information on the integrations that are available for JIRA in your project management SaaS solution. I am keen to learn about the different tools and platforms that can be integrated with JIRA to boost its capabilities. Particularly, I would like to know if there are integrations for time tracking, reporting, and workflow automation. It would be helpful if you could provide me with a list of available integrations along with their descriptions. Furthermore, I am also interested to know if there are any future plans to add new integrations. Thank you for your time and assistance. I look forward to your response."
TCK-0023,chat,CUST-023,premium,故障影响正常业务推进,我们在使用“云桌面协作”时遇到服务中断或不可用影响团队使用，当前影响范围正在扩大，希望尽快确认故障根因和恢复时间。,云桌面协作,2026-03-29T10:38:00,open,,technical_issue,Tobi-Bueck/customer-support-tickets,PUB-08530,en,IT Support,Crash Report: Unexpected Website Outage,"Dear Support Team,\n\nI hope this message finds you well. I am reaching out to inform you about a recent issue with our website. It unexpectedly crashed during the night, which could be attributed to a sudden increase in traffic. Despite our attempts to fix the problem, we are still experiencing ongoing issues.\n\nWe have already restarted the server and reviewed the logs, but we have not yet pinpointed the exact cause of the crash. This situation is causing inconvenience for our users, and we are eager to resolve it swiftly.\n\nCould you please assist us by providing guidance or support? It would be immensely helpful if you could request the server logs and more information about the traffic surge. Additionally, please provide us with our account number, as this information will be crucial in addressing the issue.\n\nWe appreciate your prompt attention to this matter.\n\nBest regards,\n[Your Name]"
TCK-0024,web,CUST-024,enterprise,登录、密码或多因素认证异常，需要协助处理,关于“运维控制台”的账号访问问题，目前表现为登录、密码或多因素认证异常，已经影响日常操作，请给出下一步处理建议。,运维控制台,2026-03-29T09:37:00,open,,account_access,Tobi-Bueck/customer-support-tickets,PUB-04058,en,Technical Support,Report on Login Failures,"Dear Customer Support, I am encountering occasional login difficulties with the platform. The issue might have been triggered by recent server configuration adjustments. After attempting to restart the affected servers and clearing the cache, the problem still persists. Users are unable to log in consistently, which is impeding their ability to use the platform as intended. We kindly request your assistance in resolving this matter as soon as possible to minimize any disruptions to our users. Please investigate the cause of the login failures and provide solution recommendations."
TCK-0025,email,CUST-025,standard,想咨询产品功能与上线安排,我们最近在评估“视觉巡检仪”是否适合内部场景，想重点咨询与报价与套餐方案咨询相关的能力边界、上线节奏和最佳实践。,视觉巡检仪,2026-03-29T08:36:00,open,ORD-0073,general_inquiry,Tobi-Bueck/customer-support-tickets,PUB-13602,en,Technical Support,Inquiry for Digital Strategy Consultation and Pricing,Kindly furnish consultation details and pricing information.
TCK-0026,chat,CUST-026,premium,账单与扣费异常，需要尽快核对,订单 ORD-0048 购买的“视觉巡检仪”最近使用体验不符合预期，同时还出现了账单金额或发票信息异常，请帮我核对退款或账单修正流程。,视觉巡检仪,2026-03-29T07:35:00,open,ORD-0048,billing_refund,Tobi-Bueck/customer-support-tickets,PUB-13410,en,Billing and Payments,Request for Updating Billing System to Support Automated Invoicing,"We need to update the billing system to support automatic invoicing for annual subscription plans. This task includes integrating a payment gateway and automating invoice generation. The system must be capable of handling plan upgrades and downgrades, as well as sending payment reminders and notifications."
TCK-0027,web,CUST-027,enterprise,包裹运输状态异常，需要协助排查,关于订单 ORD-0027，我们现在最关注的是“云桌面协作”的发货与物流问题。由于存在发货与配送状态异常，请尽快确认是否需要升级处理。,云桌面协作,2026-03-29T06:34:00,open,ORD-0027,delivery_issue,Tobi-Bueck/customer-support-tickets,PUB-13776,en,Returns and Exchanges,Support Needed: Incorrect Shipment,"I received a shipment with an incorrect order and suspect it might be due to a warehouse packing mistake. I have already reached out to support and am waiting for a response. I appreciate it if you could investigate and provide a prompt resolution. If you need any additional details from me, please let me know. I look forward to your reply soon. Thank you for your attention to this matter."
TCK-0028,email,CUST-028,standard,安全告警或权限异常影响使用，请优先处理,今天开始“云桌面协作”持续出现安全告警或权限异常影响使用，多名同事反馈无法正常使用，已经影响团队工作推进，请尽快排查。,云桌面协作,2026-03-29T05:33:00,open,,technical_issue,Tobi-Bueck/customer-support-tickets,PUB-13935,en,Returns and Exchanges,Incident of Data Breach in Hospital System,"A data breach has been detected in the hospital system, resulting from unauthorized access, which has exposed sensitive medical data. It is possible that a failure in security protocols or human error in data handling may have led to this. Immediate lockdown of the affected systems has been initiated, and a full audit of security measures has been started."
TCK-0029,chat,CUST-029,premium,重置密码后仍然无法登录,“运维控制台”当前存在密码重置或凭证校验失败，用户多次尝试登录后仍然失败，希望尽快确认是账号、验证码还是 MFA 配置问题。,运维控制台,2026-03-29T04:32:00,open,ORD-0085,account_access,Tobi-Bueck/customer-support-tickets,PUB-05991,en,Customer Service,Login Problems Post Recent Enhancements,"Dear Customer Support, I have been encountering occasional login difficulties recently. These began after the latest updates to the authentication server. I have already attempted clearing my browser cache and resetting my password, but the problem continues. The login issues appear to be random, which makes it difficult to pinpoint a consistent pattern. I would greatly appreciate your timely assistance in resolving this matter to reduce any user inconvenience. Please let me know if there are any further troubleshooting steps that I can take. Additionally, I would be open to discussing this issue further over a call at <tel_num> if that would be helpful. Thank you for your prompt attention to this matter."
TCK-0030,web,CUST-030,enterprise,需要确认方案能力和适用方式,当前团队正在比较不同方案，希望确认“视觉巡检仪”在产品能力、上线计划或商务咨询方面的能力和商务安排，请尽量给到清晰答复。,视觉巡检仪,2026-03-29T03:31:00,open,,general_inquiry,Tobi-Bueck/customer-support-tickets,PUB-14059,en,Billing and Payments,Customer Support Inquiry for Digital Strategies Services,"Could you provide details on your digital strategies services to boost brand growth? I am interested in learning how your company can help increase our online presence and improve the overall performance of our brand. I would appreciate any information you can provide, including case studies and examples of previous work. Thank you for your assistance, and I look forward to hearing from you soon."
TCK-0031,email,CUST-031,standard,售后退款流程想尽快推进,关于订单 ORD-0054 对应的“安全金库”，目前遇到账单金额或发票信息异常，想确认是否满足退款条件，并尽快推进售后处理。,安全金库,2026-03-29T02:30:00,open,ORD-0054,billing_refund,Tobi-Bueck/customer-support-tickets,PUB-14567,en,Billing and Payments,Upgrade Billing System for Annual Subscription Invoicing,"The task is to update the billing system to support the automated invoicing for annual subscription plans. This includes integrating a payment gateway and setting up automatic invoice generation. The system must also manage plan upgrades and downgrades, along with sending payment reminders and notifications."
TCK-0032,chat,CUST-032,premium,发货与配送状态异常，请帮忙核对,“云桌面协作”这笔订单 ORD-0032 已经等待多日，目前仍有发货与配送状态异常 的迹象，麻烦同步当前承运与履约进展。,云桌面协作,2026-03-29T01:29:00,open,ORD-0032,delivery_issue,Tobi-Bueck/customer-support-tickets,PUB-14811,en,Returns and Exchanges,Assistance Required with Incorrect Shipment,I have received the wrong shipment from your order. It might have been a mistake during the warehouse packing. I have already reached out to your support team and am waiting for a response. I would be grateful if you could investigate this issue and provide a solution as soon as possible. Please let me know if you need any additional information from me to help with this situation. I look forward to your prompt response. Thank you for your time and help in this matter.
TCK-0033,web,CUST-033,enterprise,系统异常已经影响团队使用,“云桌面协作”当前存在明显的服务中断或不可用影响团队使用，现场已经很难继续推进业务，麻烦优先安排技术排查。 目前已经影响生产，SLA 有风险，请按高优先级处理。,云桌面协作,2026-03-29T00:28:00,open,ORD-0097,technical_issue,Tobi-Bueck/customer-support-tickets,PUB-14076,en,Service Outages and Maintenance,Investment Optimization Tools Unavailable Following Maintenance,"The investment optimization tools are currently inaccessible due to a service outage. This unexpected downtime might be a result of recent server maintenance. We have restarted the affected applications and are monitoring server performance, but access continues to be disrupted. Assistance is needed to resolve this issue promptly to minimize any impact on operations."
TCK-0034,email,CUST-034,standard,账号验证一直失败，影响使用,我们在访问“运维控制台”时遇到密码重置或凭证校验失败，已经尝试重置密码和重新验证，但仍然无法恢复，请协助排查账号或权限配置。,运维控制台,2026-03-28T23:27:00,open,,account_access,Tobi-Bueck/customer-support-tickets,PUB-08321,en,Customer Service,Report on Login Problems,Facing login difficulties following a password reset
TCK-0035,chat,CUST-035,premium,想了解商务报价和功能边界,关于“视觉巡检仪”，我们想进一步了解报价与套餐方案咨询方面的信息，尤其是适用范围、交付节奏和后续支持方式。,视觉巡检仪,2026-03-28T22:26:00,open,,general_inquiry,Tobi-Bueck/customer-support-tickets,PUB-17637,en,Technical Support,Inquiry for Digital Strategy Guidance and Cost Information,Kindly furnish us with details regarding the consultation and pricing.
TCK-0036,web,CUST-036,enterprise,重复扣费或金额异常，需要人工处理,我们在使用“运维控制台”过程中遇到了重复扣费或金额异常，现在想申请退款或补偿。我手头暂时找不到订单号，但可以补充付款截图和采购信息，请先帮我确认处理规则。,运维控制台,2026-03-28T21:25:00,open,,billing_refund,Tobi-Bueck/customer-support-tickets,PUB-01491,en,Billing and Payments,Concern Regarding Monthly Subscription Charges,"Hello Customer Support, I hope you can address the issue with my subscription charges. I was charged twice in the same month and suspect it might be due to a system error. I have already contacted support and received a resolution, but I would greatly appreciate it if you could look into providing a refund for the excess charge as soon as possible. Please let me know if you need any additional information to resolve the issue. My email address for your reference is needed. Thank you for your prompt attention."
TCK-0037,email,CUST-037,standard,订单发货进度长时间未更新,订单 ORD-0037 对应的“云桌面协作”出现了发货、物流或履约进度异常，我们长时间没有看到新的物流更新，请帮忙核对发货与履约状态。,云桌面协作,2026-03-28T20:24:00,open,ORD-0037,delivery_issue,Tobi-Bueck/customer-support-tickets,PUB-17523,en,Returns and Exchanges,Incomplete Product Bundle Delivered by Your Organization,"Greeting customer support team, I have just received a product package that is not fully stocked. According to my order, there were multiple products, but several were not present. Despite efforts to reach your staff through telephonic and email methods, I have not got a reply yet. This could be due to a mistake in the order processing system. I would be grateful if you could check into this and offer a satisfactory resolution at the earliest. Kindly inform me if you need any further details from me to address this issue."
TCK-0038,chat,CUST-038,premium,服务报错持续出现，需要尽快排查,我们在使用“云桌面协作”时遇到系统报错或故障需要排查，当前影响范围正在扩大，希望尽快确认故障根因和恢复时间。,云桌面协作,2026-03-28T19:23:00,open,,technical_issue,Tobi-Bueck/customer-support-tickets,PUB-17181,en,IT Support,Integration Error Resulting in Project Data Loss,"The integration encountered a failure that led to the loss of project data. There is a possibility that the recent Laravel 8 update is not compatible. Services have been restarted, API keys checked, and errors have been documented."
TCK-0039,web,CUST-039,enterprise,登录与权限访问出现异常,关于“运维控制台”的账号访问问题，目前表现为密码重置或凭证校验失败，已经影响日常操作，请给出下一步处理建议。,运维控制台,2026-03-28T18:22:00,open,,account_access,Tobi-Bueck/customer-support-tickets,PUB-09805,en,Customer Service,Occasional Login Issues Noted in Project Management System,"Customers are encountering occasional login difficulties. The problem could be related to heightened server demand during busy periods. Resetting the user's password and clearing their browser cache might fix the issue. If the problem continues, further investigation is needed to identify the root cause."
TCK-0040,email,CUST-040,standard,报价与套餐方案咨询，希望尽快回复,我们最近在评估“视觉巡检仪”是否适合内部场景，想重点咨询与报价与套餐方案咨询相关的能力边界、上线节奏和最佳实践。,视觉巡检仪,2026-03-28T17:21:00,open,,general_inquiry,Tobi-Bueck/customer-support-tickets,PUB-07057,en,Sales and Pre-Sales,Inquiry on Pricing,I would like to gather more information about your digital marketing services and software integration options. Could you please share the pricing details and any current packages or promotions available?
TCK-0041,chat,CUST-041,premium,想确认最近订单的退款处理,订单 ORD-0067 购买的“云桌面协作”最近使用体验不符合预期，同时还出现了重复扣费或金额异常，请帮我核对退款或账单修正流程。,云桌面协作,2026-03-28T16:20:00,open,ORD-0067,billing_refund,Tobi-Bueck/customer-support-tickets,PUB-08888,en,Billing and Payments,Concern About Monthly Subscription Charges,"Dear Support, I hope this message finds you well. I am writing to bring to your attention an issue with my subscription charges. I was charged twice for the same month, and I believe this might be due to a system glitch. I have already contacted support, and a resolution has been provided. However, I would greatly appreciate it if you could look into this matter and possibly process a refund for the excess charge soon, if possible. Please let me know if you need any additional information to resolve the issue. My email address for further contact is necessary. Thank you for your prompt attention."
TCK-0042,web,CUST-042,enterprise,物流履约出现异常，想尽快确认,关于订单 ORD-0042，我们现在最关注的是“云桌面协作”的发货与物流问题。由于存在物流轨迹长时间未更新，请尽快确认是否需要升级处理。,云桌面协作,2026-03-28T15:19:00,open,ORD-0042,delivery_issue,Tobi-Bueck/customer-support-tickets,PUB-01455,en,Customer Service,Collaboration Tools for Team Management Software,"I am reaching out to inquire about the collaboration features included in your team project management SaaS. Specifically, I am interested in understanding how your system handles task assignment, tracking progress, and facilitating communication among team members. Could you provide details on any tools that enhance teamwork and productivity? I am seeking a comprehensive solution to efficiently manage my team's projects."
TCK-0043,email,CUST-043,standard,故障影响正常业务推进,今天开始“云桌面协作”持续出现服务中断或不可用影响团队使用，多名同事反馈无法正常使用，已经影响团队工作推进，请尽快排查。,云桌面协作,2026-03-28T14:18:00,open,,technical_issue,Tobi-Bueck/customer-support-tickets,PUB-00052,en,Technical Support,Problem with SQL Server Downtime,"Faced an SQL Server outage that disrupted data analytics processing, impacting investment optimization. The outage might be due to high query loads on the server. Restarted the SQL Service and reviewed the server logs for any errors."
TCK-0044,chat,CUST-044,premium,登录、密码或多因素认证异常，需要协助处理,“运维控制台”当前存在登录、密码或多因素认证异常，用户多次尝试登录后仍然失败，希望尽快确认是账号、验证码还是 MFA 配置问题。,运维控制台,2026-03-28T13:17:00,open,,account_access,Tobi-Bueck/customer-support-tickets,PUB-09941,en,Customer Service,Problem with Login to Account,"Respected Customer Support, I am currently facing challenges while trying to log into my account. I am unable to access it, and I believe the issue could be related to an outdated browser version. Having tried clearing the cache and restarting my browser, the problem still exists. I would be grateful if you could help me resolve this. Please advise on any further actions I should take or any information you need from me. Thank you for your assistance, and I am looking forward to your response. Kind regards."
