corpus_id,mapped_category,source_dataset,source_language,source_queue,source_subject,source_body,summary_cn,match_score
PUB-06943,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Issue with Billing,"I am contacting you to address an unanticipated billing error that has affected multiple products at the same time. I suspect this might be due to a possible integration problem with the payment gateway. I have already reviewed the payment configurations and reinitiated the billing service, and I have also engaged the support team, yet the issue remains unresolved. I would be grateful if you could undertake an investigation and provide a resolution at your earliest convenience. Please inform me if you require any further details from me to resolve this issue.",??????????,13.0
PUB-07240,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Inaccurate Billing of Multiple Subscriptions,"Multiple subscriptions are being billed incorrectly. There could be a misconfiguration in the payment gateway settings. So far, I have checked my account details and reviewed my payment history.",??????????,13.0
PUB-07657,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Reported Issue with Payment Failure,There was an unexpected payment failure. It might be due to an outdated payment gateway integration. The billing service was restarted and logs were reviewed. Assistance is needed to address the problem.,??????????,13.0
PUB-07932,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request for Upgrading Billing System,"Hello Customer Support, I am reaching out to propose an upgrade to our billing system. Presently, it caters only to one currency and payment type, which can be restrictive for our international customer base. I suggest enhancing the system to accommodate multiple currencies and payment methods. This adjustment would enable us to better cater to our global clientele and enhance their overall experience. It would also be advantageous to incorporate options like automatic currency conversion and the support for diverse payment gateways. I am confident that this upgrade would be a significant stride towards expanding our business on a global scale. We appreciate your consideration of my proposal.",??????????,13.0
PUB-08671,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Payment Discrepancy,"Dear Customer Support, I am contacting you regarding an unexpected payment discrepancy in my recent invoice. After reviewing the invoice, I noticed that the amount charged does not correspond to what I expected to pay. I have attempted to resolve the issue by checking the invoice details and my payment history, but the discrepancy still exists. I suspect that the problem may be due to an inaccurate data feed or a technical error. I would appreciate it if you could investigate this matter and provide a resolution at your earliest convenience. Please inform me if any additional information from my side is needed to help with the investigation. You can reach me via email or through my account portal. I look forward to your prompt response. Sincerely, [Your Name]",??????????,13.0
PUB-09217,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Support Request for Billing Details Update,"I am writing to request an update to my billing details for my digital marketing subscriptions. Currently, I have multiple subscriptions with different payment due dates, which is confusing and inefficient. I would like to streamline the payment process to improve efficiency. Could you please assist me in updating my billing details to a single payment method for all my subscriptions? Additionally, I would greatly appreciate it if you could provide me with a detailed invoice of my current subscriptions. Your assistance would be greatly appreciated, and I look forward to your help.",??????????,13.0
PUB-09293,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Concern Regarding Invoice Discrepancy,"I am contacting you to address an unexpected issue with my invoice, which I suspect might be related to a potential glitch in the billing system. After checking my payment records online, the discrepancy remains unresolved. Could you please review this and provide a resolution at your earliest convenience? Kindly provide me with any further information you may require from me. I am eager to hear from you soon. Thank you for your prompt attention to this matter.",??????????,13.0
PUB-09314,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Unanticipated Charge on Invoice,"Dear Customer Support, I have encountered an unexpected charge on my recent invoice and suspect it might be due to a billing system error. I have reviewed the contract terms and contacted support for clarification, but have not yet received a response. I would greatly appreciate it if you could look into the matter and provide a clear explanation of the charge. Please let us know if there is any additional information needed to resolve this issue. I look forward to hearing from you soon.",??????????,13.0
PUB-10448,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem Occurred,"Several subscriptions appeared to be charged concurrently, likely because of a sync malfunction between the payment system. I refreshed the billing sequence and verified the payment configurations.",??????????,13.0
PUB-10557,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with the Billing Cycle,"There was an incorrect charge in the latest billing cycle, which might have occurred due to a misconfiguration in recurring payments. I have already checked my account settings and verified my payment method, but the issue still persists. I would greatly appreciate it if you could look into this matter and provide a solution as soon as possible. Please let me know if there is any additional information needed to resolve the issue.",??????????,13.0
PUB-10587,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Unanticipated Billing Discrepancies Across Various Products,"Noted billing discrepancies across several products, possibly stemming from integration problems with payment gateways. Efforts to resolve by reviewing account settings and reconciling transactions have been inconclusive.",??????????,13.0
PUB-10837,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Unanticipated Charge in Invoice,"Dear Support Team, I have encountered an unanticipated charge on my recent invoice and suspect it may be due to a billing system error. I have reviewed the contract terms and have already reached out to support for clarification, but have yet to receive a response. I would greatly appreciate it if you could look into this matter and provide a clear explanation for the charge. Please let me know if there is any additional information you need to resolve this issue. I look forward to hearing back from you soon.",??????????,13.0
PUB-11723,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Attention to Duplicate Invoice Issue in Recent Payment,"Hello Customer Support, I am reaching out to report an issue with my recent payment. I received a duplicate invoice for services I have already settled. This could be an error in the Zoho Books system. After my attempts to resolve it with your support team and checking my billing history, the issue remains unresolved. Kindly address this and provide assistance in finding a resolution. If further information is required from my side, please inform me. I am hopeful that with your support, this matter will be resolved quickly. Appreciate your time and effort. Looking forward to your prompt response.",??????????,13.0
PUB-13340,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Incorrect Charge on Most Recent Invoice,"An incorrect charge was issued due to a miscalculation in campaign costs after the billing software was updated. Discrepancies still exist, necessitating manual reconciliation.",??????????,13.0
PUB-13818,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Query on Securing Medical Data in PrestaShop,"Seeking information on how to secure medical data using PrestaShop for billing and payments. Interested in learning about the best practices for protecting sensitive patient information and ensuring compliance with relevant regulations. Would appreciate guidance on implementing strong security measures, encryption, and access controls. Also, looking for recommendations on integrating secure payment gateways into PrestaShop. Looking forward to your assistance and will be happy to hear back soon.",??????????,13.0
PUB-14134,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Unanticipated Billing Variations Across Various Products,"Noted unexpected billing variances across multiple products, possibly stemming from integration problems with payment gateways. Efforts to resolve by reviewing account settings and reconciling transactions have not corrected the issues.",??????????,13.0
PUB-14477,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Billing Statement,"I received an unexpected charge on my billing statement. This might have occurred due to misconfiguration of my account. I have tried to reconcile my account and reviewed my payment history, but the issue still persists. Could you please assist me in resolving this matter as soon as possible?",??????????,13.0
PUB-14533,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Issue with Invoice Consistency,"I am contacting you to report an unexpected inconsistency in my invoice. It is possible that this is a result of a potential error in the billing system. I have already validated my online payment history, but the discrepancy remains. I would appreciate if you could look into this and provide a resolution at your earliest convenience. Please inform me if any additional details are required from my side to assist in the investigation. I look forward to your prompt response. Thank you for your time and support in this matter.",??????????,13.0
PUB-14689,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Update Billing Procedures with Data Analytics,"Customer Support, please update the billing procedures and payment methods used in the software and hardware. Currently, there are issues with the payment gateway, and we would like to explore alternative options. Could you provide us with the available payment methods and guide us on how to update our billing information? We appreciate your assistance with this matter and look forward to hearing back soon. Thank you for your support.",??????????,13.0
PUB-14809,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Payment Gateway,"Customers are unable to complete transactions, which is affecting the billing of various products. This issue might be due to recent software updates that have impacted the payment gateways. After attempting to revert to the last stable version and clearing the cache, the issue still persists. We need your assistance to resolve this issue as soon as possible to minimize any impact on our business.",??????????,13.0
PUB-15616,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Billing Mistake,Received an unexpected charge on the recent invoice due to a billing mistake.,??????????,13.0
PUB-16667,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Issue with Invoiced Amount,"I am contacting you to report an issue with my invoice. The total charged is more than expected and does not align with my regular monthly payment. I have reviewed the invoice and my agreement terms, yet I cannot pinpoint the reason for this difference. It might be that there was a miscalculation or the wrong rate was used. I would be grateful if you could look into this and adjust my invoice as promptly as possible. Please inform me if there are any additional details you need from me to address this issue.",??????????,13.0
PUB-17166,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Update Billing Processes Using Data Analytics,"Customer Support, requesting an update on the billing processes, particularly the payment methods and the software/hardware utilized for data analytics operations. We are currently encountering issues with the payment gateway and would like to explore alternative options. Could you please provide us with the available payment methods and guide us through the process of updating our billing information? We greatly appreciate your assistance in this matter and look forward to hearing from you soon. Thank you for your support.",??????????,13.0
PUB-17948,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Assistance with Billing Details Update,"I am writing to request an update on my billing details for my digital marketing subscriptions. Currently, I have multiple subscriptions with various due dates, which is causing confusion and inefficiency. I would like to streamline the payment process to improve efficiency. Could you please assist in updating my billing details to a single payment method for all my subscriptions? Additionally, I would appreciate it if you could provide me with a detailed invoice for my current subscriptions. Your prompt assistance would be greatly appreciated. I look forward to your help.",??????????,13.0
PUB-00193,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Payment,"There has been an issue with processing payments for several software subscriptions. The payment gateway unexpectedly declined the transaction. Despite restarting my device and verifying my account balance, the problem remains unresolved. I believe it could be related to an expired credit card or overdrawn limit.",??????????,12.0
PUB-08303,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request for Updating Billing Details for Enhanced Data Analytics,"Dear Customer Support, we are writing to request an update to our billing information in order to better align with our enhanced data analytics tools, which have recently been implemented as part of an investment optimization initiative. These tools have significantly improved our ability to track and analyze investments, and we believe that updating our billing information will enhance our overall experience. Could you please adjust our billing cycle to monthly payments instead of the current quarterly payments? Additionally, we would like to update our payment method to a credit card.",??????????,12.0
PUB-12656,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Issue with Payment,"There is an issue with processing the payment for several software subscriptions. The payment gateway has suddenly declined the transaction. I have already restarted my system and confirmed my account balance, yet the problem continues. It could be related to an expired credit card or exceeding the payment limit.",??????????,12.0
PUB-00353,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Billing Accuracy for SaaS Subscription,"There were recent discrepancies in the billing for my SaaS subscription, which I believe are due to a delay in the payment processing system. I have already checked and updated my payment information, but the issue persists. Could you please help resolve this as soon as possible?",??????????,11.0
PUB-00577,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request for Support,"Customer Support, encountered an unexpected charge on my account, which is affecting our budget for digital marketing activities. This might have occurred due to a billing error or miscommunication related to package upgrades. After verifying subscription details and checking for unauthorized transactions, the issue still persists. Could you please look into this matter and provide a resolution and explanation for the charge? I appreciate your assistance in resolving this issue and would like a detailed breakdown of my current subscription and any recent changes. Thank you.",??????????,11.0
PUB-00865,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request for ClickUp Subscription Details,"Hello Customer Support, I am writing to request detailed information about billing cycles, payment options, and the various plans available with ClickUp subscriptions. I would greatly appreciate it if you could provide a breakdown of the different plans and their corresponding prices, as well as any discounts or promotions that might be available. Additionally, could you inform me about any additional fees associated with certain features or services? I look forward to your prompt response and appreciate your assistance. Thank you, [Your Name]",??????????,11.0
PUB-01411,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,"Encountered Billing Error During Subscription Month, Potentially From Incorrect Payment Processing","Faced a billing error for the subscription in the current month, which might be attributed to an issue with the payment processing platform. After re-entering payment details and reaching out to support for clarification, the problem still continues. I would greatly appreciate your assistance in resolving this matter to ensure my subscription is updated correctly. Please investigate and provide a solution to rectify the billing error as soon as possible.",??????????,11.0
PUB-01824,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Notice of Billing Discrepancies Across Various Services,"Dear Support Team, our organization is encountering billing discrepancies for several products and services. There might be a mix-up in subscription renewals or payment processing mistakes causing this issue. We have already reviewed our billing records and reached out to customer support, but the problem remains unresolved. We kindly request your assistance in resolving this matter as soon as possible. Please inform us if any additional information is needed. Thank you for your prompt attention to this matter.",??????????,11.0
PUB-01905,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request for Details on ClickUp Subscription Plans,"Hello Customer Support, I am reaching out to request detailed information about billing cycles, payment options, and the different plans available with ClickUp subscriptions. I would greatly appreciate a breakdown of the corresponding prices and any discounts or promotions that may be available. Additionally, I would like to know about any additional fees associated with certain features or services. Thank you in advance for your assistance. I look forward to hearing back from you soon. Regards, [Your Name]",??????????,11.0
PUB-02118,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Request for Assistance with Billing Issues,"Recently, there have been some billing inconsistencies with my SaaS subscription, which may be related to recent updates in the payment system. Despite reviewing past transactions and contacting support, the issue remains unresolved. I would greatly appreciate it if you could look into this matter and provide a resolution as soon as possible.",??????????,11.0
PUB-02344,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Subscription Services,"Facing billing inconsistencies with subscription services, likely due to multiple logins or incorrect payment details.",??????????,11.0
PUB-02546,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Concern About Increased Subscription Fee,"The customer was charged a higher fee in the current month due to a plan change. After verifying the account details and attempting to contact support, they received a response. They need assistance with the unexpected charge and would like help in resolving the issue as soon as possible.",??????????,11.0
PUB-03319,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Subscription Fee Concern,"The customer was charged a higher fee in the current month due to a plan change. After verifying account details and attempting to contact support, they received a response. They require assistance with the unexpected charge and request help in resolving the issue promptly.",??????????,11.0
PUB-06707,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Subscription Payment Handling,"Lately, the subscription payment has failed, likely because of outdated billing details. Despite attempts to update the payment information, errors persist, obstructing access to premium features.",??????????,11.0
PUB-06768,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Unusually High Invoice Inquiry,"I recently received an invoice with an unexpectedly high amount for digital tools. Having reviewed my previous invoices and contacted support, I believe there may be an error in my subscription details. I urgently require assistance in addressing this discrepancy to prevent further billing issues.",??????????,11.0
PUB-06965,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Support for Project Management SaaS,Could you provide details on the billing process for the project management SaaS subscription? I would like to know the payment terms and any additional fees associated with it.,??????????,11.0
PUB-07037,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Trouble with Billing Discrepancies on Smart-Tracker Memrise,"Facing issues with billing discrepancies on Smart-Tracker Memrise. The problem might be due to incorrect changes in the billing cycle. I have reviewed my payment records and verified my subscription settings, but I still need assistance to resolve this issue.",??????????,11.0
PUB-07338,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Discrepancies in Subscription Billing Need Resolution,"I am encountering discrepancies in my subscription billing payments. The issue might be due to incorrect payment processing through Xero. After re-verifying my account details and reprocessing payments, the problem still persists. I would greatly appreciate your assistance in resolving this matter as soon as possible. Could you please inform me of the next steps to take in order to resolve the issue? I am looking forward to hearing back from you soon.",??????????,11.0
PUB-07598,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Concerns About Payment Services,Noticed some unexpected billing complications with my subscription services. These issues seem to be a result of a glitch in the payment processing system. I have double-checked my payment details and tried to address any discrepancies but to no avail. Could you please assist in resolving this matter?,??????????,11.0
PUB-07653,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Incorrect Invoice Subscription Issue,"I received an incorrect invoice due to a billing system glitch. Despite my attempts to reconcile the charges and contacting support, the issue remains unresolved. I would appreciate it if you could look into this matter and provide a corrected invoice as soon as possible.",??????????,11.0
PUB-07999,billing_refund,Tobi-Bueck/customer-support-tickets,en,Billing and Payments,Problem with Billing Accuracy,"There have been recent discrepancies in the billing for the SaaS subscription, likely due to a delay in the payment processing system. I have double-checked the account details and tried changing the payment methods, but the issue persists. Could you please help resolve this as soon as possible?",??????????,11.0
